id,nombre,tipo,estado,lat,lng,direccion,barrio,necesidades,voluntarios_hay,voluntarios_faltan,contacto,actualizado
mvh53f2qddni,Alto bonito buga,rescate,urgente,3.8992056670380606,-76.28571163112194,Alto bonito buga,,,0,0,,2026-08-12T14:47:59.189Z
u3svfre9n2dj,Coliseo Angelino Garzón,albergue,necesita,4.527268800722869,-76.09790930562004,Coliseo Angelino Garzón,,Comida | Comida para animales | Pañales | Colchonetas | Electrolitos,0,0,,2026-08-12T14:47:07.574Z
qvh3v59vvyke,Crra 30a casa 28 el acuairo,rescate,urgente,4.799396539963939,-75.7348289400653,Crra 30a casa 28 el acuairo,,,0,0,,2026-08-12T14:38:50.943Z
hqavd9m2pkjj,Calle 61An 18-139,rescate,urgente,2.4914715257419027,-76.57365611739455,Calle 61An 18-139,,,0,0,,2026-08-12T14:35:47.652Z
xsu5px23izdf,Corregímiento de vallejuelo zarzal valle,rescate,urgente,39.88647779747755,4.255806993808158,Corregímiento de vallejuelo zarzal valle,,Voluntarios | Agua | Comida | Guantes de obra | Gafas de seguridad | Tapabocas | Linternas | Palas | Colchonetas | Comida para animales | Carpas | Tapers,0,0,,2026-08-12T14:26:46.370Z
rhn969dgb9s4,Hospital Sagrada Familia ESE,rescate,urgente,4.6122929336670015,-76.07836425304414,Hospital Sagrada Familia ESE,,Voluntarios | Agua | Tejas y vigetas metálicas para Techo hospital,0,0,,2026-08-12T14:13:04.233Z
3rz25y24wtm6,"calle 16, #17-70, Pereira",rescate,urgente,3.5492192,-76.2932559,"calle 16, #17-70, Pereira",,Agua | Comida,0,0,,2026-08-12T14:11:21.088Z
p52djvnr2pck,Buenaventura/ Barrio Alberto Lleras Camargo,rescate,urgente,3.875054123128608,-77.0614166557789,Buenaventura/ Barrio Alberto Lleras Camargo,,Voluntarios | Comida | Guantes de obra | Agua | Linternas | Botiquín | Colchonetas | Carpas | Comida para animales | Pañales,0,0,,2026-08-12T14:09:27.974Z
xsin2u2jzm33,Edificio frente al parque el Prado,rescate,cerrado,4.5292620778637,-76.10748952500715,Edificio frente al parque el Prado,,Afectaciones estructurales graves | completamente evacuado.,0,0,,2026-08-12T13:55:50.543Z
yrndsgrdjvq6,Calle 13 con Carrera 13,rescate,cerrado,4.530416480435076,-76.1022182497491,Calle 13 con Carrera 13,,Afectaciones estructurales | completamente evacuado,0,0,,2026-08-12T13:55:37.750Z
6tg69ujudmfj,Villa Santana intermedio,rescate,urgente,4.7959136,-75.6670807,Villa Santana intermedio,Villa Santana intermedio,Agua | Voluntarios | Comida | Botiquín | Carpas | Colchonetas | Pañales | Guantes de obra | Cintas de seguridad | Electrolitos | Comida para animales | Cobijas. | Cobijas | elementos de aseo (Hay personas durmiendo en la calle y niños),0,0,,2026-08-12T13:49:40.080Z
zw8whgt9vh2e,"Calle 5 vía timba, san jose",rescate,urgente,3.028912092569472,-76.49978253527,"Calle 5 vía timba, san jose",,,0,0,,2026-08-12T13:35:27.796Z
gm8rqjj9pjdy,BG 4 MZ PARQUE INDUSTRIAL EL PARAISO,rescate,urgente,3.0153147,-76.4788881,BG 4 MZ PARQUE INDUSTRIAL EL PARAISO,,,0,0,,2026-08-12T12:27:21.054Z
8e262ne2v7v3,Avioneta urgente!!!,rescate,urgente,3.8881929,-77.0738324,Buenaventura,,Voluntarios | Agua | Comida | Guantes de obra | Gafas de seguridad | Palas | Picas | Cinceles | Botiquín | Tapers | Carpas | Linternas | Informan que no logran ingresar a Buenaventura | no hay gente ayudando son muy poco,0,0,,2026-08-12T12:01:43.584Z
3w9cesv6dd5g,Carrera 5 calle 5 #4-47 Guachene,rescate,urgente,3.1327837209935496,-76.38995647430421,Carrera 5 calle 5 #4-47 Guachene,,Deylin Aponza Guaza 3174219573 | 3183682587,0,0,,2026-08-12T09:44:31.641Z
kw2zaw5kjan8,El villar,rescate,urgente,4.818835772608338,-76.09084725379945,El villar,,Agua | Comida | Colchonetas,0,0,,2026-08-12T09:44:06.006Z
srtwptspmesh,Río Iró,rescate,urgente,5.185576434999106,-76.47157827820566,Río Iró,,Colchonetas | Cintas de seguridad | Linternas,0,0,,2026-08-12T07:56:33.033Z
